,NAME,POP2020,geometry
3,Dhaka,17015.0,"POLYGON ((10131274.406262696 2680044.554540637, 10131033.642596306 2675143.6975241587, 10130313.670282857 2670290.0384398308, 10129121.423049306 2665530.3206779137, 10127468.38288826 2660910.3829223826, 10125370.469480114 2656474.7176993373, 10122847.886877824 2652266.042889657, 10119924.928930832 2648324.890332455, 10116629.745322023 2644689.2154813097, 10112994.070470879 2641394.0318725, 10109052.917913675 2638471.0739255096, 10104844.243103996 2635948.491323219, 10100408.57788095 2633850.5779150724, 10095788.640125418 2632197.5377540267, 10091028.922363503 2631005.2905204752, 10086175.263279174 2630285.318207027, 10081274.406262696 2630044.554540637, 10076373.549246218 2630285.318207027, 10071519.890161889 2631005.2905204752, 10066760.172399973 2632197.5377540267, 10062140.234644441 2633850.5779150724, 10057704.569421396 2635948.491323219, 10053495.894611716 2638471.0739255096, 10049554.742054513 2641394.0318725, 10045919.067203369 2644689.2154813097, 10042623.88359456 2648324.890332455, 10039700.925647568 2652266.042889657, 10037178.343045278 2656474.7176993373, 10035080.429637132 2660910.3829223826, 10033427.389476085 2665530.3206779137, 10032235.142242534 2670290.0384398303, 10031515.169929085 2675143.6975241587, 10031274.406262696 2680044.554540637, 10031515.169929085 2684945.411557115, 10032235.142242534 2689799.0706414436, 10033427.389476085 2694558.78840336, 10035080.429637132 2699178.7261588913, 10037178.343045278 2703614.3913819366, 10039700.925647568 2707823.066191617, 10042623.88359456 2711764.218748819, 10045919.067203369 2715399.893599964, 10049554.742054513 2718695.0772087737, 10053495.894611716 2721618.0351557643, 10057704.569421396 2724140.6177580548, 10062140.234644441 2726238.5311662015, 10066760.172399973 2727891.571327247, 10071519.890161889 2729083.8185607987, 10076373.549246218 2729803.790874247, 10081274.406262696 2730044.554540637, 10086175.263279174 2729803.790874247, 10091028.922363503 2729083.8185607987, 10095788.640125418 2727891.571327247, 10100408.57788095 2726238.5311662015, 10104844.243103996 2724140.6177580548, 10109052.917913675 2721618.0351557643, 10112994.070470879 2718695.0772087737, 10116629.745322023 2715399.893599964, 10119924.928930832 2711764.218748819, 10122847.886877824 2707823.066191617, 10125370.469480114 2703614.391381937, 10127468.38288826 2699178.7261588913, 10129121.423049306 2694558.78840336, 10130313.670282857 2689799.0706414436, 10131033.642596306 2684945.411557115, 10131274.406262696 2680044.554540637))"
61,Guangzhou,10414.0,"POLYGON ((12666706.322422016 2601968.4296756648, 12666465.558755627 2597067.5726591866, 12665745.586442178 2592213.9135748586, 12664553.339208627 2587454.1958129415, 12662900.29904758 2582834.2580574104, 12660802.385639435 2578398.592834365, 12658279.803037144 2574189.918024685, 12655356.845090153 2570248.7654674826, 12652061.661481343 2566613.0906163375, 12648425.9866302 2563317.907007528, 12644484.834072996 2560394.9490605374, 12640276.159263317 2557872.366458247, 12635840.494040271 2555774.4530501002, 12631220.556284739 2554121.4128890545, 12626460.838522824 2552929.165655503, 12621607.179438494 2552209.1933420547, 12616706.322422016 2551968.4296756648, 12611805.465405539 2552209.1933420547, 12606951.80632121 2552929.165655503, 12602192.088559294 2554121.4128890545, 12597572.150803762 2555774.4530501002, 12593136.485580716 2557872.366458247, 12588927.810771037 2560394.9490605374, 12584986.658213833 2563317.907007528, 12581350.98336269 2566613.0906163375, 12578055.79975388 2570248.7654674826, 12575132.841806889 2574189.918024685, 12572610.259204598 2578398.592834365, 12570512.345796453 2582834.2580574104, 12568859.305635406 2587454.1958129415, 12567667.058401855 2592213.913574858, 12566947.086088406 2597067.5726591866, 12566706.322422016 2601968.4296756648, 12566947.086088406 2606869.286692143, 12567667.058401855 2611722.9457764714, 12568859.305635406 2616482.663538388, 12570512.345796453 2621102.601293919, 12572610.259204598 2625538.2665169644, 12575132.841806889 2629746.9413266447, 12578055.79975388 2633688.093883847, 12581350.98336269 2637323.768734992, 12584986.658213833 2640618.9523438015, 12588927.810771037 2643541.910290792, 12593136.485580716 2646064.4928930826, 12597572.150803762 2648162.4063012293, 12602192.088559294 2649815.446462275, 12606951.80632121 2651007.6936958265, 12611805.465405539 2651727.666009275, 12616706.322422016 2651968.4296756648, 12621607.179438494 2651727.666009275, 12626460.838522824 2651007.6936958265, 12631220.556284739 2649815.446462275, 12635840.494040271 2648162.4063012293, 12640276.159263317 2646064.4928930826, 12644484.834072996 2643541.910290792, 12648425.9866302 2640618.9523438015, 12652061.661481343 2637323.768734992, 12655356.845090153 2633688.093883847, 12658279.803037144 2629746.9413266447, 12660802.385639435 2625538.266516965, 12662900.29904758 2621102.601293919, 12664553.339208627 2616482.663538388, 12665745.586442178 2611722.9457764714, 12666465.558755627 2606869.286692143, 12666706.322422016 2601968.4296756648))"
61,Dongguan,5366.0,"POLYGON ((12666706.322422016 2601968.4296756648, 12666465.558755627 2597067.5726591866, 12665745.586442178 2592213.9135748586, 12664553.339208627 2587454.1958129415, 12662900.29904758 2582834.2580574104, 12660802.385639435 2578398.592834365, 12658279.803037144 2574189.918024685, 12655356.845090153 2570248.7654674826, 12652061.661481343 2566613.0906163375, 12648425.9866302 2563317.907007528, 12644484.834072996 2560394.9490605374, 12640276.159263317 2557872.366458247, 12635840.494040271 2555774.4530501002, 12631220.556284739 2554121.4128890545, 12626460.838522824 2552929.165655503, 12621607.179438494 2552209.1933420547, 12616706.322422016 2551968.4296756648, 12611805.465405539 2552209.1933420547, 12606951.80632121 2552929.165655503, 12602192.088559294 2554121.4128890545, 12597572.150803762 2555774.4530501002, 12593136.485580716 2557872.366458247, 12588927.810771037 2560394.9490605374, 12584986.658213833 2563317.907007528, 12581350.98336269 2566613.0906163375, 12578055.79975388 2570248.7654674826, 12575132.841806889 2574189.918024685, 12572610.259204598 2578398.592834365, 12570512.345796453 2582834.2580574104, 12568859.305635406 2587454.1958129415, 12567667.058401855 2592213.913574858, 12566947.086088406 2597067.5726591866, 12566706.322422016 2601968.4296756648, 12566947.086088406 2606869.286692143, 12567667.058401855 2611722.9457764714, 12568859.305635406 2616482.663538388, 12570512.345796453 2621102.601293919, 12572610.259204598 2625538.2665169644, 12575132.841806889 2629746.9413266447, 12578055.79975388 2633688.093883847, 12581350.98336269 2637323.768734992, 12584986.658213833 2640618.9523438015, 12588927.810771037 2643541.910290792, 12593136.485580716 2646064.4928930826, 12597572.150803762 2648162.4063012293, 12602192.088559294 2649815.446462275, 12606951.80632121 2651007.6936958265, 12611805.465405539 2651727.666009275, 12616706.322422016 2651968.4296756648, 12621607.179438494 2651727.666009275, 12626460.838522824 2651007.6936958265, 12631220.556284739 2649815.446462275, 12635840.494040271 2648162.4063012293, 12640276.159263317 2646064.4928930826, 12644484.834072996 2643541.910290792, 12648425.9866302 2640618.9523438015, 12652061.661481343 2637323.768734992, 12655356.845090153 2633688.093883847, 12658279.803037144 2629746.9413266447, 12660802.385639435 2625538.266516965, 12662900.29904758 2621102.601293919, 12664553.339208627 2616482.663538388, 12665745.586442178 2611722.9457764714, 12666465.558755627 2606869.286692143, 12666706.322422016 2601968.4296756648))"
13,Vancouver,2310.0,"POLYGON ((-13651152.894063992 6264721.052596287, -13651393.657730382 6259820.195579809, -13652113.63004383 6254966.536495481, -13653305.877277382 6250206.818733564, -13654958.917438429 6245586.880978032, -13657056.830846574 6241151.215754987, -13659579.413448865 6236942.540945306, -13662502.371395856 6233001.388388105, -13665797.555004666 6229365.713536959, -13669433.22985581 6226070.52992815, -13673374.382413013 6223147.57198116, -13677583.057222692 6220624.9893788695, -13682018.722445738 6218527.075970722, -13686638.66020127 6216874.035809676, -13691398.377963185 6215681.788576125, -13696252.037047515 6214961.816262677, -13701152.894063992 6214721.052596287, -13706053.75108047 6214961.816262677, -13710907.4101648 6215681.788576125, -13715667.127926715 6216874.035809676, -13720287.065682247 6218527.075970722, -13724722.730905293 6220624.9893788695, -13728931.405714972 6223147.57198116, -13732872.558272175 6226070.52992815, -13736508.23312332 6229365.713536959, -13739803.416732129 6233001.388388105, -13742726.37467912 6236942.540945306, -13745248.95728141 6241151.215754987, -13747346.870689556 6245586.880978032, -13748999.910850603 6250206.818733564, -13750192.158084154 6254966.536495481, -13750912.130397603 6259820.195579809, -13751152.894063992 6264721.052596287, -13750912.130397603 6269621.909612765, -13750192.158084154 6274475.568697093, -13748999.910850603 6279235.28645901, -13747346.870689556 6283855.224214542, -13745248.95728141 6288290.889437587, -13742726.37467912 6292499.564247267, -13739803.416732129 6296440.716804469, -13736508.23312332 6300076.391655615, -13732872.558272175 6303371.575264424, -13728931.405714972 6306294.533211414, -13724722.730905293 6308817.115813704, -13720287.065682247 6310915.029221851, -13715667.127926715 6312568.069382898, -13710907.4101648 6313760.316616449, -13706053.75108047 6314480.288929896, -13701152.894063992 6314721.052596287, -13696252.037047515 6314480.288929896, -13691398.377963185 6313760.316616449, -13686638.66020127 6312568.069382898, -13682018.722445738 6310915.029221851, -13677583.057222692 6308817.115813704, -13673374.382413013 6306294.533211414, -13669433.22985581 6303371.575264424, -13665797.555004666 6300076.391655615, -13662502.371395856 6296440.716804469, -13659579.413448865 6292499.564247267, -13657056.830846574 6288290.889437587, -13654958.917438429 6283855.224214542, -13653305.877277382 6279235.28645901, -13652113.63004383 6274475.568697093, -13651393.657730382 6269621.909612765, -13651152.894063992 6264721.052596287))"
39,Panama City,1527.0,"POLYGON ((-8805652.138083788 990882.1356430816, -8805892.901750177 985981.2786266035, -8806612.874063626 981127.6195422752, -8807805.121297177 976367.9017803585, -8809458.161458224 971747.9640248271, -8811556.07486637 967312.2988017817, -8814078.65746866 963103.6239921015, -8817001.615415651 959162.4714348994, -8820296.79902446 955526.7965837542, -8823932.473875605 952231.6129749448, -8827873.626432808 949308.6550279544, -8832082.301242488 946786.0724256639, -8836517.966465533 944688.1590175172, -8841137.904221065 943035.1188564711, -8845897.62198298 941842.8716229202, -8850751.28106731 941122.8993094718, -8855652.138083788 940882.1356430816, -8860552.995100265 941122.8993094717, -8865406.654184595 941842.8716229202, -8870166.37194651 943035.1188564711, -8874786.309702042 944688.1590175172, -8879221.974925088 946786.0724256638, -8883430.649734767 949308.6550279544, -8887371.80229197 952231.6129749448, -8891007.477143114 955526.7965837542, -8894302.660751924 959162.4714348994, -8897225.618698915 963103.6239921015, -8899748.201301206 967312.2988017817, -8901846.114709351 971747.9640248271, -8903499.154870398 976367.9017803585, -8904691.40210395 981127.6195422752, -8905411.374417398 985981.2786266035, -8905652.138083788 990882.1356430816, -8905411.374417398 995782.9926595597, -8904691.40210395 1000636.651743888, -8903499.154870398 1005396.3695058047, -8901846.114709351 1010016.3072613361, -8899748.201301206 1014451.9724843815, -8897225.618698915 1018660.6472940617, -8894302.660751924 1022601.7998512639, -8891007.477143114 1026237.474702409, -8887371.80229197 1029532.6583112185, -8883430.649734767 1032455.6162582089, -8879221.974925088 1034978.1988604993, -8874786.309702042 1037076.1122686459, -8870166.37194651 1038729.1524296921, -8865406.654184595 1039921.3996632431, -8860552.995100265 1040641.3719766915, -8855652.138083788 1040882.1356430816, -8850751.28106731 1040641.3719766915, -8845897.62198298 1039921.3996632431, -8841137.904221065 1038729.1524296921, -8836517.966465533 1037076.112268646, -8832082.301242488 1034978.1988604994, -8827873.626432808 1032455.6162582089, -8823932.473875605 1029532.6583112185, -8820296.79902446 1026237.474702409, -8817001.615415651 1022601.7998512639, -8814078.65746866 1018660.6472940617, -8811556.07486637 1014451.9724843815, -8809458.161458224 1010016.3072613361, -8807805.121297177 1005396.3695058047, -8806612.874063626 1000636.651743888, -8805892.901750177 995782.9926595597, -8805652.138083788 990882.1356430816))"
9,Riga,0.0,"POLYGON ((2727715.313318914 7737754.164372597, 2727474.549652524 7732853.307356119, 2726754.5773390755 7727999.648271791, 2725562.330105524 7723239.930509874, 2723909.2899444783 7718619.992754342, 2721811.3765363316 7714184.327531297, 2719288.793934041 7709975.652721616, 2716365.8359870506 7706034.500164415, 2713070.652378241 7702398.825313269, 2709434.977527096 7699103.64170446, 2705493.824969894 7696180.68375747, 2701285.1501602135 7693658.10115518, 2696849.484937168 7691560.187747032, 2692229.547181637 7689907.147585986, 2687469.82941972 7688714.900352435, 2682616.170335392 7687994.928038987, 2677715.313318914 7687754.164372597, 2672814.4563024356 7687994.928038987, 2667960.7972181076 7688714.900352435, 2663201.0794561906 7689907.147585986, 2658581.1417006594 7691560.187747032, 2654145.476477614 7693658.10115518, 2649936.801667934 7696180.68375747, 2645995.6491107317 7699103.64170446, 2642359.9742595865 7702398.825313269, 2639064.790650777 7706034.500164415, 2636141.8327037864 7709975.652721616, 2633619.250101496 7714184.327531297, 2631521.3366933493 7718619.992754342, 2629868.2965323036 7723239.930509874, 2628676.049298752 7727999.648271791, 2627956.076985304 7732853.307356119, 2627715.313318914 7737754.164372597, 2627956.076985304 7742655.021389075, 2628676.049298752 7747508.680473403, 2629868.2965323036 7752268.39823532, 2631521.3366933493 7756888.335990852, 2633619.250101496 7761324.001213897, 2636141.8327037864 7765532.676023577, 2639064.790650777 7769473.828580779, 2642359.9742595865 7773109.503431925, 2645995.6491107317 7776404.687040734, 2649936.801667934 7779327.644987724, 2654145.476477614 7781850.227590014, 2658581.1417006594 7783948.140998161, 2663201.0794561906 7785601.181159208, 2667960.797218107 7786793.428392759, 2672814.4563024356 7787513.400706206, 2677715.313318914 7787754.164372597, 2682616.170335392 7787513.400706206, 2687469.82941972 7786793.428392759, 2692229.547181637 7785601.181159208, 2696849.484937168 7783948.140998161, 2701285.1501602135 7781850.227590014, 2705493.824969894 7779327.644987724, 2709434.977527096 7776404.687040734, 2713070.652378241 7773109.503431925, 2716365.8359870506 7769473.828580779, 2719288.793934041 7765532.676023577, 2721811.3765363316 7761324.001213897, 2723909.2899444783 7756888.335990852, 2725562.330105524 7752268.39823532, 2726754.5773390755 7747508.680473403, 2727474.549652524 7742655.021389075, 2727715.313318914 7737754.164372597))"
27,Bethel,0.0,"POLYGON ((-17977812.506620012 8516517.179908404, -17978053.270286404 8511616.322891926, -17978773.242599852 8506762.663807597, -17979965.489833403 8502002.946045682, -17981618.529994447 8497383.00829015, -17983716.443402596 8492947.343067104, -17986239.026004884 8488738.668257425, -17989161.983951874 8484797.515700221, -17992457.167560685 8481161.840849077, -17996092.84241183 8477866.657240268, -18000033.994969033 8474943.699293276, -18004242.669778712 8472421.116690986, -18008678.33500176 8470323.20328284, -18013298.272757288 8468670.163121793, -18018057.990519207 8467477.915888242, -18022911.649603534 8466757.943574794, -18027812.506620012 8466517.179908404, -18032713.36363649 8466757.943574794, -18037567.022720817 8467477.915888242, -18042326.740482736 8468670.163121793, -18046946.678238265 8470323.20328284, -18051382.343461312 8472421.116690986, -18055591.01827099 8474943.699293276, -18059532.170828193 8477866.657240268, -18063167.84567934 8481161.840849077, -18066463.02928815 8484797.515700221, -18069385.98723514 8488738.668257425, -18071908.56983743 8492947.343067104, -18074006.483245578 8497383.00829015, -18075659.52340662 8502002.946045682, -18076851.770640172 8506762.663807597, -18077571.74295362 8511616.322891926, -18077812.506620012 8516517.179908404, -18077571.74295362 8521418.036924882, -18076851.770640172 8526271.696009211, -18075659.52340662 8531031.413771126, -18074006.483245578 8535651.351526659, -18071908.56983743 8540087.016749704, -18069385.98723514 8544295.691559384, -18066463.02928815 8548236.844116587, -18063167.84567934 8551872.51896773, -18059532.170828193 8555167.70257654, -18055591.01827099 8558090.660523532, -18051382.343461312 8560613.243125822, -18046946.678238265 8562711.156533968, -18042326.740482736 8564364.196695015, -18037567.022720817 8565556.443928566, -18032713.36363649 8566276.416242015, -18027812.506620012 8566517.179908404, -18022911.649603534 8566276.416242015, -18018057.990519207 8565556.443928566, -18013298.272757288 8564364.196695015, -18008678.33500176 8562711.156533968, -18004242.669778712 8560613.243125822, -18000033.994969033 8558090.660523532, -17996092.84241183 8555167.70257654, -17992457.167560685 8551872.51896773, -17989161.983951874 8548236.844116587, -17986239.026004884 8544295.691559384, -17983716.443402596 8540087.016749704, -17981618.529994447 8535651.351526659, -17979965.489833403 8531031.413771126, -17978773.242599852 8526271.696009211, -17978053.270286404 8521418.036924882, -17977812.506620012 8516517.179908404))"
